Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,_timestamp,_step,Validation Measures/discrete_frechet_distance/site_rpos,Mean Episode Return,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rpos
,,,,,2131.051890614,85.9993667602539,,,,,,1764576635.3092222,99942400.0,,56.64228057861328,,,,,,,
,,,,,2131.052381844,87.87103271484375,,,,,,1764576635.3096955,100761600.0,,58.26325988769531,,,,,,,
,,,,,2131.052851898,87.30528259277344,,,,,,1764576635.3101764,101580800.0,,57.52995681762695,,,,,,,
,,,,,2131.053344097,87.76724243164062,,,,,,1764576635.3106534,102400000.0,,57.82826232910156,,,,,,,
,,,,,2131.053810125,90.27607727050781,,,,,,1764576635.3111458,103219200.0,,59.16047286987305,,,,,,,
,,,,,2131.054294607,90.51577758789062,,,,,,1764576635.3116133,104038400.0,,59.545589447021484,,,,,,,
0.7365902066230774,16.746952056884766,,52.65822982788086,1.278727650642395,2131.056935308,92.17298889160156,3.1830663681030273,0.6594628095626831,255.18240356445312,179.87831115722656,4.352760314941406,1764576635.3138642,104857600.0,0.5106876492500305,60.47987365722656,32.39042663574219,10.686372756958008,0.4199359714984894,2.1304824352264404,37.94025802612305,40.88365173339844,0.2555771470069885
,,,,,2131.057401149,92.35562133789062,,,,,,1764576635.3147411,105676800.0,,61.3406867980957,,,,,,,
,,,,,2131.057878297,91.6596450805664,,,,,,1764576635.315206,106496000.0,,61.316314697265625,,,,,,,
,,,,,2131.058350152,93.65583801269531,,,,,,1764576635.3156857,107315200.0,,62.727664947509766,,,,,,,
,,,,,2131.058817877,93.57601165771484,,,,,,1764576635.316145,108134400.0,,62.676570892333984,,,,,,,
,,,,,2131.059383061,93.8837661743164,,,,,,1764576635.3166208,108953600.0,,62.97885513305664,,,,,,,
,,,,,2131.05986557,96.24920654296875,,,,,,1764576635.3171606,109772800.0,,64.60462188720703,,,,,,,
,,,,,2131.06036568,98.8277587890625,,,,,,1764576635.3176553,110592000.0,,66.01705932617188,,,,,,,
,,,,,2131.060820978,98.69060516357422,,,,,,1764576635.3181658,111411200.0,,66.74945831298828,,,,,,,
,,,,,2131.061307348,97.07919311523438,,,,,,1764576635.3186305,112230400.0,,66.18875885009766,,,,,,,
,,,,,2131.061782097,99.05989074707031,,,,,,1764576635.3191037,113049600.0,,67.10041809082031,,,,,,,
,,,,,2131.062259447,100.7511215209961,,,,,,1764576635.3195796,113868800.0,,68.7032470703125,,,,,,,
,,,,,2131.062727424,101.2119140625,,,,,,1764576635.3200517,114688000.0,,69.4228744506836,,,,,,,
,,,,,2131.063215247,101.60197448730469,,,,,,1764576635.3205278,115507200.0,,69.99275207519531,,,,,,,
,,,,,2131.063677189,100.6206283569336,,,,,,1764576635.321019,116326400.0,,69.47045135498047,,,,,,,
,,,,,2131.064158547,102.86297607421875,,,,,,1764576635.3214793,117145600.0,,72.58720397949219,,,,,,,
