Validation Measures/dynamic_time_warping/qvel,_timestamp,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Mean Episode Return,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/site_rpos,Mean Episode Length,_runtime,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,Agent Video,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rvel,_step,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/site_rpos
,1765193588.2656064,,,35.52333450317383,,,,,,62.059261322021484,2225.944319234,,,,,,,,53248000.0,,,
,1765193588.2662137,,,35.77485275268555,,,,,,62.36421203613281,2225.944892564,,,,,,,,54067200.0,,,
,1765193588.2667491,,,36.4325065612793,,,,,,62.49127197265625,2225.945468075,,,,,,,,54886400.0,,,
,1765193588.26736,,,36.72037124633789,,,,,,62.98478317260742,2225.946007324,,,,,,,,55705600.0,,,
,1765193588.267912,,,37.09062957763672,,,,,,63.08452224731445,2225.946576849,,,,,,,,56524800.0,,,
,1765193588.2684488,,,37.79569625854492,,,,,,63.623992919921875,2225.947129196,,,,,,,,57344000.0,,,
,1765193588.2690012,,,38.124149322509766,,,,,,64.18482971191406,2225.947652908,,,,,,,,58163200.0,,,
,1765193588.2695327,,,37.71451950073242,,,,,,63.84484100341797,2225.948278183,,,,,,,,58982400.0,,,
,1765193588.2701209,,,39.01449966430664,,,,,,64.82499694824219,2225.949078809,,,,,,,,59801600.0,,,
,1765193588.2706869,,,38.56658172607422,,,,,,64.81019592285156,2225.949689595,,,,,,,,60620800.0,,,
,1765193588.2715268,,,39.79782485961914,,,,,,65.62821960449219,2225.95031074,,,,,,,,61440000.0,,,
,1765193588.2721562,,,39.5435791015625,,,,,,65.3895492553711,2225.950897746,,,,,,,,62259200.0,,,
,1765193588.2727344,,,40.17637252807617,,,,,,65.87133026123047,2225.95141777,,,,,,,,63078400.0,,,
,1765193588.273295,,,39.99115753173828,,,,,,66.00330352783203,2225.951986541,,,,,,,,63897600.0,,,
,1765193588.273868,,,40.60261535644531,,,,,,66.37344360351562,2225.952568698,,,,,,,,64716800.0,,,
258.1226806640625,1765193588.2766576,10.564040184020996,190.7941436767578,40.55633544921875,0.4515605568885803,2.2334883213043213,19.217105865478516,53.724769592285156,0.28864359855651855,66.27386474609375,2225.95590893,0.7321639657020569,1.4545681476593018,,3.1877260208129883,35.79881286621094,43.39341735839844,4.537631988525391,65536000.0,32.130836486816406,0.819738507270813,0.6066874265670776
,1765193588.277792,,,41.19381332397461,,,,,,66.33651733398438,2225.956578079,,,,,,,,66355200.0,,,
,1765193588.2783942,,,41.62577819824219,,,,,,67.39022827148438,2225.957065922,,,,,,,,67174400.0,,,
,1765193588.278934,,,42.39934539794922,,,,,,68.10828399658203,2225.957619068,,,,,,,,67993600.0,,,
,1765193588.2795107,,,42.27050018310547,,,,,,67.88931274414062,2225.958195052,,,,,,,,68812800.0,,,
,1765193588.2800767,,,42.866024017333984,,,,,,68.46361541748047,2225.958734117,,,,,,,,69632000.0,,,
,1765193588.2806244,,,43.31089782714844,,,,,,68.50813293457031,2225.959291017,,,,,,,,70451200.0,,,
,1765193588.281191,,,43.25019073486328,,,,,,68.36470794677734,2225.959846208,,,,,,,,71270400.0,,,
,1765193588.2817366,,,43.51114273071289,,,,,,68.95536804199219,2225.960430057,,,,,,,,72089600.0,,,
,1765193588.2822726,,,44.74457931518555,,,,,,69.86184692382812,2225.960895166,,,,,,,,72908800.0,,,
,1765193588.2827964,,,44.72761154174805,,,,,,69.83702087402344,2225.961442336,,,,,,,,73728000.0,,,
,1765193588.283328,,,44.95615768432617,,,,,,70.34060668945312,2225.961982956,,,,,,,,74547200.0,,,
,1765193588.2838588,,,44.88198471069336,,,,,,70.9454574584961,2225.962541702,,,,,,,,75366400.0,,,
,1765193588.2844245,,,45.634986877441406,,,,,,71.27191925048828,2225.96306503,,,,,,,,76185600.0,,,
,1765193588.2849655,,,46.514041900634766,,,,,,72.07391357421875,2225.963754683,,,,,,,,77004800.0,,,
,1765193588.285595,,,45.81108093261719,,,,,,71.68492889404297,2225.964247841,,,,,,,,77824000.0,,,
257.40191650390625,1765193588.2883193,10.596901893615723,184.6259765625,46.168548583984375,0.4462255537509918,2.1806552410125732,18.305416107177734,50.13725662231445,0.27240774035453796,72.97454833984375,2225.967489309,0.6880861520767212,1.4240014553070068,,3.1880929470062256,35.484642028808594,42.02888107299805,4.407955169677734,78643200.0,36.13933563232422,0.8143633008003235,0.5639352202415466
,1765193588.2893634,,,46.7984733581543,,,,,,73.32459259033203,2225.968100219,,,,,,,,79462400.0,,,
,1765193588.2899878,,,47.32050704956055,,,,,,73.43372344970703,2225.96867957,,,,,,,,80281600.0,,,
,1765193588.2905538,,,47.6556396484375,,,,,,73.76319885253906,2225.969263379,,,,,,,,81100800.0,,,
,1765193588.2911565,,,47.97832489013672,,,,,,73.84244537353516,2225.969813394,,,,,,,,81920000.0,,,
,1765193588.2917101,,,48.61138153076172,,,,,,74.79460144042969,2225.970354145,,,,,,,,82739200.0,,,
,1765193588.2922504,,,48.99796676635742,,,,,,75.02144622802734,2225.970921498,,,,,,,,83558400.0,,,
,1765193588.2928076,,,49.74357604980469,,,,,,76.11900329589844,2225.971490903,,,,,,,,84377600.0,,,
,1765193588.2933812,,,50.13039779663086,,,,,,76.14543914794922,2225.972014656,,,,,,,,85196800.0,,,
,1765193588.293921,,,49.68388748168945,,,,,,76.76009368896484,2225.972578204,,,,,,,,86016000.0,,,
,1765193588.2944868,,,49.977210998535156,,,,,,77.16273498535156,2225.973113067,,,,,,,,86835200.0,,,
,1765193588.295019,,,50.54415512084961,,,,,,78.26268005371094,2225.973650275,,,,,,,,87654400.0,,,
,1765193588.2955594,,,51.16666793823242,,,,,,79.01175689697266,2225.974192256,,,,,,,,88473600.0,,,
,1765193588.2961035,,,51.381439208984375,,,,,,79.92301940917969,2225.974718785,,,,,,,,89292800.0,,,
,1765193588.2966294,,,51.14436721801758,,,,,,79.3963394165039,2225.975265611,,,,,,,,90112000.0,,,
