Validation Measures/dynamic_time_warping/site_rrotvec,_runtime,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Mean Episode Length,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rpos,_step,Agent Video,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/site_rrotvec
,2191.111934837,,,,,70.55751037597656,,,,,,,72089600.0,,,,1765254794.561322,43.895423889160156,,,,
,2191.112669025,,,,,71.38772583007812,,,,,,,72908800.0,,,,1765254794.5618396,44.67732238769531,,,,
,2191.113680144,,,,,71.7016830444336,,,,,,,73728000.0,,,,1765254794.5624297,44.546165466308594,,,,
,2191.114609902,,,,,72.1998062133789,,,,,,,74547200.0,,,,1765254794.563473,44.58806228637695,,,,
,2191.115589976,,,,,72.56816101074219,,,,,,,75366400.0,,,,1765254794.5644162,44.94907760620117,,,,
,2191.116771472,,,,,74.60670471191406,,,,,,,76185600.0,,,,1765254794.565364,46.265010833740234,,,,
,2191.117703724,,,,,74.2799301147461,,,,,,,77004800.0,,,,1765254794.5664945,46.0826530456543,,,,
,2191.118649076,,,,,73.92842102050781,,,,,,,77824000.0,,,,1765254794.5675015,45.78080368041992,,,,
44.02603530883789,2191.124370678,3.2569339275360107,192.71864318847656,4.636295795440674,35.097896575927734,74.92709350585938,50.71287155151367,34.27402114868164,2.2694051265716553,10.653646469116211,0.43414026498794556,0.28740018606185913,78643200.0,,0.6142562627792358,1.4871387481689453,1765254794.5724201,46.59885025024414,0.8005295395851135,264.0054016113281,19.180273056030273,0.7361399531364441
,2191.125603263,,,,,75.87852478027344,,,,,,,79462400.0,,,,1765254794.5741572,47.45078659057617,,,,
