Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/euclidean_distance/site_rpos,Validation Measures/dynamic_time_warping/site_rvel,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Return,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rpos,_timestamp,_step,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos
11.284255027770996,0.11754615604877472,186.4051971435547,46.712120056152344,2.9708144664764404,2.180562734603882,0.2510550320148468,0.5955224633216858,2208.625264091,141.87936401367188,6.351133346557617,,111.3412094116211,0.2557215094566345,1764574422.5157268,209715200.0,240.29220581054688,23.777441024780273,4.61480712890625,55.136192321777344,0.5587645173072815,10.725260734558105,0.31561124324798584
,,,,,,,,2208.626322603,143.1394500732422,,,112.03546905517578,,1764574422.5166276,210534400.0,,,,,,,
,,,,,,,,2208.627227735,143.14266967773438,,,111.67233276367188,,1764574422.517785,211353600.0,,,,,,,
,,,,,,,,2208.62788994,144.49574279785156,,,112.53784942626953,,1764574422.5187347,212172800.0,,,,,,,
,,,,,,,,2208.628543472,143.30694580078125,,,111.8885726928711,,1764574422.519485,212992000.0,,,,,,,
,,,,,,,,2208.629220333,142.94644165039062,,,111.46890258789062,,1764574422.5201812,213811200.0,,,,,,,
,,,,,,,,2208.62992981,144.36090087890625,,,112.148681640625,,1764574422.5208683,214630400.0,,,,,,,
,,,,,,,,2208.630607864,144.788330078125,,,112.32748413085938,,1764574422.521572,215449600.0,,,,,,,
,,,,,,,,2208.631357428,142.60072326660156,,,110.46754455566406,,1764574422.5222573,216268800.0,,,,,,,
,,,,,,,,2208.632114658,142.4932861328125,,,110.67839813232422,,1764574422.5229728,217088000.0,,,,,,,
,,,,,,,,2208.632868409,147.2777099609375,,,113.55563354492188,,1764574422.5237327,217907200.0,,,,,,,
,,,,,,,,2208.633495597,144.38092041015625,,,111.44026947021484,,1764574422.524478,218726400.0,,,,,,,
,,,,,,,,2208.634162216,143.75314331054688,,,110.748291015625,,1764574422.5251606,219545600.0,,,,,,,
,,,,,,,,2208.634851647,145.9241943359375,,,112.34378814697266,,1764574422.5258288,220364800.0,,,,,,,
,,,,,,,,2208.635548813,145.42002868652344,,,111.57820892333984,,1764574422.5265253,221184000.0,,,,,,,
,,,,,,,,2208.636588297,145.40296936035156,,,111.81991577148438,,1764574422.5272002,222003200.0,,,,,,,
11.668540954589844,0.11862126737833023,180.67689514160156,51.29230880737305,2.922229528427124,2.131154775619507,0.2573934495449066,0.6092655658721924,2208.639999286,145.46141052246094,6.30186653137207,,111.3802490234375,0.2596525251865387,1764574422.5306134,222822400.0,237.69003295898438,23.661165237426758,4.628451347351074,60.906700134277344,0.5570070147514343,11.038265228271484,0.31631794571876526
,,,,,,,,2208.640572147,147.49261474609375,,,112.61998748779297,,1764574422.5316758,223641600.0,,,,,,,
,,,,,,,,2208.641126583,145.88787841796875,,,111.57412719726562,,1764574422.5322468,224460800.0,,,,,,,
,,,,,,,,2208.641648397,145.0130615234375,,,111.16769409179688,,1764574422.532799,225280000.0,,,,,,,
,,,,,,,,2208.642088755,145.0762481689453,,,110.65506744384766,,1764574422.533299,226099200.0,,,,,,,
,,,,,,,,2208.642593323,146.55296325683594,,,111.82095336914062,,1764574422.5337813,226918400.0,,,,,,,
,,,,,,,,2208.643058414,145.61801147460938,,,111.08414459228516,,1764574422.5342886,227737600.0,,,,,,,
,,,,,,,,2208.64354848,148.50958251953125,,,112.94132232666016,,1764574422.5347528,228556800.0,,,,,,,
,,,,,,,,2208.644029,146.03038024902344,,,110.88462829589844,,1764574422.5352478,229376000.0,,,,,,,
,,,,,,,,2208.644501575,148.38037109375,,,112.56719970703125,,1764574422.5357213,230195200.0,,,,,,,
,,,,,,,,2208.644990451,147.38758850097656,,,111.96439361572266,,1764574422.5361955,231014400.0,,,,,,,
,,,,,,,,2208.645465969,147.81210327148438,,,111.71077728271484,,1764574422.5366826,231833600.0,,,,,,,
,,,,,,,,2208.646017459,148.47027587890625,,,112.00531005859375,,1764574422.5371604,232652800.0,,,,,,,
,,,,,,,,2208.646570742,148.0124969482422,,,111.78881072998047,,1764574422.5376792,233472000.0,,,,,,,
,,,,,,,,2208.647066099,145.5723114013672,,,109.98792266845703,,1764574422.538206,234291200.0,,,,,,,
,,,,,,,,2208.647560343,146.9896240234375,,,110.93648529052734,,1764574422.538751,235110400.0,,,,,,,
10.723639488220215,0.1119166910648346,189.61366271972656,40.80644989013672,2.9602465629577637,2.2326011657714844,0.23444411158561707,0.5827643275260925,2208.650338602,148.20692443847656,5.898108959197998,,111.61227416992188,0.2370748519897461,1764574422.541114,235929600.0,238.60006713867188,22.74519920349121,4.877781391143799,50.521812438964844,0.543584942817688,11.01772689819336,0.3034684658050537
,,,,,,,,2208.650889709,148.9827117919922,,,111.92293548583984,,1764574422.5420299,236748800.0,,,,,,,
,,,,,,,,2208.651303892,149.5267791748047,,,112.29351806640625,,1764574422.5425212,237568000.0,,,,,,,
,,,,,,,,2208.651784086,148.92422485351562,,,111.82061004638672,,1764574422.5430012,238387200.0,,,,,,,
,,,,,,,,2208.652251122,150.4872589111328,,,112.27825927734375,,1764574422.5434737,239206400.0,,,,,,,
,,,,,,,,2208.652779603,148.87380981445312,,,111.32939147949219,,1764574422.5439477,240025600.0,,,,,,,
,,,,,,,,2208.653211559,148.05960083007812,,,110.54751586914062,,1764574422.5444295,240844800.0,,,,,,,
,,,,,,,,2208.653716101,150.252685546875,,,111.8812026977539,,1764574422.5449078,241664000.0,,,,,,,
